friction_model,Cf,Kleak,x1,spacing_m,n_total,frac_idx,x_f,delta_x,P_1d,P_2d,alpha_1d,alpha_2d
steady,1e-05,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.13243165997033396,0.08100966710406962,0.2268791088953477,0.46271474981360516
steady,1e-05,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.02714273505479734,0.03408062825997902,0.04650035757004344,0.19466330306663446
steady,1e-05,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.6112642896859971,0.330435629514571,1.0,1.0
steady,1e-05,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.05658183482937253,0.1577456754893039,0.09256525497087077,0.4773870049093719
steady,1e-05,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.015595829709098437,0.06124613034217386,0.025514053368159168,0.18534965624665825
steady,1e-05,0.001,3000.0,20.0,3,1,3000.290023201856,0.0,0.29598727349817894,0.3367390001667662,1.0,1.0
steady,1e-05,0.001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.05451754630945505,0.19844919161013866,0.18418881888106067,0.5893264264366732
steady,1e-05,0.001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.013468848851143725,0.0884708460350158,0.04550482421747296,0.26272824350966656
steady,5e-05,0.0,3000.0,20.0,3,1,3000.290023201856,0.0,0.6658815377531679,0.2295454421312136,1.0,1.0
steady,5e-05,0.0,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.11270068595039354,0.09504704063450163,0.16925035394534388,0.4140663380289228
steady,5e-05,0.0,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.026057035939108023,0.040432516128192576,0.03913163898045626,0.17614166394591443
steady,5e-05,1e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.6645646408788374,0.23113340069685523,1.0,1.0
steady,5e-05,1e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.11716838125927417,0.09534694885162033,0.176308479344203,0.41251912775978816
steady,5e-05,1e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.026381649290650042,0.040575219676587664,0.03969764213720771,0.17554892349723353
steady,5e-05,5e-05,3000.0,20.0,3,1,3000.290023201856,0.0,0.6491333344094351,0.23915536769366147,1.0,1.0
steady,5e-05,5e-05,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.13926413991853712,0.09618445184020999,0.21453857402845605,0.40218395584335964
steady,5e-05,5e-05,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.028732096625865688,0.04151195974394289,0.04426224182741349,0.17357736999286724
steady,5e-05,0.0001,3000.0,20.0,3,1,3000.290023201856,0.0,0.627043888840722,0.2520096479014677,1.0,1.0
steady,5e-05,0.0001,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.14422431895067944,0.09872089651252987,0.23000673719557524,0.39173459164995295
steady,5e-05,0.0001,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.031248049592500892,0.04497274291022076,0.04983391138740264,0.17845643325450972
steady,5e-05,0.0005,3000.0,20.0,3,1,3000.290023201856,0.0,0.5992654303293167,0.2592044115673451,1.0,1.0
steady,5e-05,0.0005,3000.0,20.0,3,2,3020.591647331786,20.301624129930133,0.058222554319800814,0.16174549045749106,0.09715653760939547,0.6240074753336797
steady,5e-05,0.0005,3000.0,20.0,3,3,3039.443155452436,39.1531322505798,0.015119398873935727,0.07231702747362626,0.025229886639092636,0.2789961291026763
