friction_model,x1,n_total,spacing_m,frac_idx,x_true,x_extracted,loc_error_m,P_1d,P_2d,alpha_2d,mu_coda,sigma_coda,PSR_dB,tau_s_ms
steady,3000.0,8,30,7,3180.0,3180.104408352668,0.1044083526680879,0.0028907550589978,0.1641537722234373,0.0461799131396196,-0.004577658386057493,0.012372987921638344,22.694427995477913,41.37931034482759
steady,3000.0,8,30,8,3210.0,3210.556844547564,0.5568445475641965,0.002520906458769,0.1235222816076472,0.0347494191463627,-0.004577658386057493,0.012372987921638344,20.301486746670555,41.37931034482759
steady,3000.0,8,40,1,3000.0,3000.290023201856,0.29002320185600183,0.626999438228509,3.355344194438175,1.0,-0.004762611909140951,0.014607483828144734,47.23555336346678,55.172413793103445
steady,3000.0,8,40,2,3040.0,3039.443155452436,0.5568445475641965,0.1222912810263008,1.615544416331275,0.4814839619163973,-0.004762611909140951,0.014607483828144734,40.9004380324392,55.172413793103445
steady,3000.0,8,40,3,3080.0,3080.046403712297,0.04640371229697848,0.0255402906797484,0.762224456477227,0.2271672926255052,-0.004762611909140951,0.014607483828144734,34.40425255016133,55.172413793103445
steady,3000.0,8,40,4,3120.0,3120.6496519721577,0.6496519721576988,0.0114633179075401,0.4201347738528299,0.1252136143139193,-0.004762611909140951,0.014607483828144734,29.274172897299703,55.172413793103445
steady,3000.0,8,40,5,3160.0,3159.802784222737,0.19721577726295436,0.0052165874293668,0.3094594296898217,0.0922288181948016,-0.004762611909140951,0.014607483828144734,26.653224637273212,55.172413793103445
steady,3000.0,8,40,6,3200.0,3200.406032482598,0.40603248259822067,0.0042319620147258,0.2211856534287315,0.0659204065548235,-0.004762611909140951,0.014607483828144734,23.788671946266547,55.172413793103445
steady,3000.0,8,40,7,3240.0,3239.5591647331785,0.44083526682152296,0.0030469380281606,0.1802185059137707,0.0537108849257555,-0.004762611909140951,0.014607483828144734,22.051039706791723,55.172413793103445
steady,3000.0,8,40,8,3280.0,3280.162412993039,0.16241299303919732,0.0019772474766566,0.1374770572401273,0.040972564742541,-0.004762611909140951,0.014607483828144734,19.768906385533377,55.172413793103445
